2018-09-02 12:01:18 INFO  Base:25 - Chrome Browser Launched
2018-09-02 12:01:26 INFO  Base:27 - Url Enteredhttp://srssprojects.in/home.aspx
2018-09-02 12:01:27 INFO  Base:30 - Browser Maximised
2018-09-02 12:01:28 INFO  Base:44 - Incorrect Title displayKEXIM BANK
2018-09-02 14:22:12 INFO  Base:27 - Chrome Browser Launched
2018-09-02 14:22:19 INFO  Base:29 - Url Enteredhttp://srssprojects.in/home.aspx
2018-09-02 14:22:20 INFO  Base:32 - Browser Maximised
2018-09-02 14:22:21 INFO  Base:46 - Incorrect Title displayKEXIM BANK
2018-09-02 14:23:52 INFO  Base:27 - Chrome Browser Launched
2018-09-02 14:24:01 INFO  Base:29 - Url Enteredhttp://srssprojects.in/home.aspx
2018-09-02 14:24:03 INFO  Base:32 - Browser Maximised
2018-09-02 14:24:03 INFO  Base:46 - Incorrect Title displayKEXIM BANK
2018-09-02 14:25:21 INFO  Base:27 - Chrome Browser Launched
2018-09-02 14:25:26 INFO  Base:29 - Url Enteredhttp://srssprojects.in/home.aspx
2018-09-02 14:25:27 INFO  Base:32 - Browser Maximised
2018-09-02 14:25:28 INFO  Base:46 - Incorrect Title displayKEXIM BANK
2018-09-02 14:28:44 INFO  Base:27 - Chrome Browser Launched
2018-09-02 14:28:54 INFO  Base:29 - Url Enteredhttp://srssprojects.in/home.aspx
2018-09-02 14:28:55 INFO  Base:32 - Browser Maximised
2018-09-02 14:28:55 INFO  Base:46 - Incorrect Title displayKEXIM BANK
2018-09-02 14:31:56 INFO  Base:27 - Chrome Browser Launched
2018-09-02 14:32:03 INFO  Base:29 - Url Enteredhttp://srssprojects.in/home.aspx
2018-09-02 14:32:04 INFO  Base:32 - Browser Maximised
2018-09-02 14:32:04 INFO  Base:46 - Incorrect Title displayKEXIM BANK
2018-09-02 15:25:45 INFO  Base:39 - Chrome Browser Launched
2018-09-02 15:25:51 INFO  Base:42 - Url Enteredhttp://srssprojects.in/home.aspx
2018-09-02 15:25:52 INFO  Base:45 - Browser Maximised
2018-09-02 15:26:01 INFO  Base:60 - Incorrect Title displayKEXIM BANK
2018-09-02 15:28:16 INFO  Base:39 - Chrome Browser Launched
2018-09-02 15:28:24 INFO  Base:42 - Url Enteredhttp://srssprojects.in/home.aspx
2018-09-02 15:28:25 INFO  Base:45 - Browser Maximised
2018-09-02 15:28:25 INFO  Base:60 - Incorrect Title displayKEXIM BANK
2018-09-02 15:30:39 INFO  Base:39 - Chrome Browser Launched
2018-09-02 15:30:45 INFO  Base:42 - Url Enteredhttp://srssprojects.in/home.aspx
2018-09-02 15:30:46 INFO  Base:45 - Browser Maximised
2018-09-02 15:30:47 INFO  Base:60 - Incorrect Title displayKEXIM BANK
2018-09-02 15:32:25 INFO  Base:39 - Chrome Browser Launched
2018-09-02 15:32:29 INFO  Base:42 - Url Enteredhttp://srssprojects.in/home.aspx
2018-09-02 15:32:30 INFO  Base:45 - Browser Maximised
2018-09-02 15:32:31 INFO  Base:60 - Incorrect Title displayKEXIM BANK
2018-09-02 15:35:06 INFO  Base:39 - Chrome Browser Launched
2018-09-02 15:35:11 INFO  Base:42 - Url Enteredhttp://srssprojects.in/home.aspx
2018-09-02 15:35:12 INFO  Base:45 - Browser Maximised
2018-09-02 15:35:12 INFO  Base:60 - Incorrect Title displayKEXIM BANK
2018-09-02 15:38:34 INFO  Base:39 - Chrome Browser Launched
2018-09-02 15:38:39 INFO  Base:42 - Url Enteredhttp://srssprojects.in/home.aspx
2018-09-02 15:38:41 INFO  Base:45 - Browser Maximised
2018-09-02 15:38:41 INFO  Base:60 - Incorrect Title displayKEXIM BANK
